	boundEGFReceptor	SosActive	RasActive	Raf1Active	MekActive	ErkActive	P90RskActive	PI3KActive	AktActive	C3GActive	Rap1Active	bRafActive
boundEGFReceptor	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
SosActive	0.996297592957744	-1.0	-0.0	-0.0	-0.0	-0.0	-0.8064016601943538	-0.0	-0.0	-0.0	-0.0	-0.0
RasActive	-0.0	0.9998772792428693	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
Raf1Active	-0.0	-0.0	1.0013939244184522	-1.0	-0.0	-0.0	-0.0	-0.0	-0.39855942958600554	-0.0	-0.0	-0.0
MekActive	-0.0	-0.0	-0.0	0.08717376490639608	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.9132210274843953
ErkActive	-0.0	-0.0	-0.0	-0.0	0.9916691490883658	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
P90RskActive	-0.0	-0.0	-0.0	-0.0	-0.0	0.8865097736709124	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0
PI3KActive	0.1738851689835548	-0.0	0.00017558951081136118	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0
AktActive	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.3951164576325186	-1.0	-0.0	-0.0	-0.0
C3GActive	0.978477156121945	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0
Rap1Active	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.9993595786508571	-1.0	-0.0
bRafActive	-0.0	-0.0	0.1659866221527913	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.8581950504041381	-1.0
