	boundEGFReceptor	SosActive	RasActive	Raf1Active	MekActive	ErkActive	P90RskActive	PI3KActive	AktActive	C3GActive	Rap1Active	bRafActive
boundEGFReceptor	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
SosActive	0.9997124000217006	-1.0	-0.0	-0.0	-0.0	-0.0	-0.9836279760524467	-0.0	-0.0	-0.0	-0.0	-0.0
RasActive	-0.0	0.0	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
Raf1Active	-0.0	-0.0	1.2191324679040352	-1.0	-0.0	-0.0	-0.0	-0.0	-0.989080545685044	-0.0	-0.0	-0.0
MekActive	-0.0	-0.0	-0.0	0.0035477129558937996	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.06505961333275369
ErkActive	-0.0	-0.0	-0.0	-0.0	0.04838661269515493	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
P90RskActive	-0.0	-0.0	-0.0	-0.0	-0.0	0.251793306516339	-1.0	-0.0	-0.0	-0.0	-0.0	-0.0
PI3KActive	0.036101963470538116	-0.0	0.043193327715114645	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0	-0.0	-0.0
AktActive	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.3709756782970276	-1.0	-0.0	-0.0	-0.0
C3GActive	0.9784771561218819	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-1.0	-0.0	-0.0
Rap1Active	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.9993595786497101	-1.0	-0.0
bRafActive	-0.0	-0.0	0.10796278693823991	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.00046575588237385426	-1.0
